"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"42136","中部","四日市霞発電所","単独","その他","2025/01/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/07 15:30:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/06","67756","67761","66774","65777","65603","65864","67488","67778","67950","67561","66359","66187","67642","67808","67399","67452","67424","67454","65224","64004","65498","66833","66629","66058","66454","66514","65337","65041","67331","67401","66663","66569","66614","66819","66259","65437","65289","65704","67257","67365","67190","66806","65873","65568","65252","65724","66217","67046","3194013","2025/01/07 15:30:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/06","6051","5118","4347","5126","5060","5087","5605","6326","6899","6171","5803","6096","6053","5599","4780","3705","2853","2595","2550","3119","3658","3782","4172","4761","5314","6003","6641","5610","3131","4305","5656","6480","9237","9465","8411","8224","9482","9806","10811","11619","11536","11141","10317","10140","10079","10842","10462","9580","319608","2025/01/07 15:30:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/06","47000","47000","47000","46000","47000","48000","48000","47000","48000","49000","47000","47000","46000","47000","47000","47000","47000","47000","46000","47000","47000","48000","48000","48000","48000","47000","47000","48000","48000","47000","48000","47000","48000","47000","48000","47000","48000","48000","47000","48000","47000","48000","47000","46000","47000","47000","47000","47000","2270000","2025/01/07 15:30:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/06","10000","11000","10000","11000","11000","10000","11000","10000","10000","10000","10000","10000","10000","11000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","11000","11000","10000","11000","10000","10000","11000","10000","11000","10000","11000","11000","10000","11000","10000","11000","10000","11000","10000","11000","10000","498000","2025/01/07 15:30:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/07","51200","51600","51600","51200","51600","51600","51600","51600","51200","51600","51600","51600","51200","51200","51600","51200","51600","51200","51600","51200","51600","51200","51600","51200","51600","51600","51600","51200","51600","51200","51600","51200","51600","51600","51200","51600","51600","51200","50800","51200","51200","51600","51600","51600","51200","51600","51600","51600","2468800","2025/01/08 15:30:02"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/07","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","38000","37000","37000","38000","1777000","2025/01/08 15:30:02"
"42136","中部","四日市霞発電所","単独","その他","2025/01/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/08 15:30:02"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/07","67102","66728","65847","64919","65394","65513","67125","67106","66547","66487","65787","65654","67007","66687","66290","66386","66546","66366","65163","64744","64577","64411","66157","66576","66962","66675","66379","66449","66424","66627","66781","66586","65490","64722","64912","64496","65891","66997","67061","66604","66369","66342","65693","65169","64636","64955","65805","66003","3169147","2025/01/08 15:30:02"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/07","9578","9741","10276","9976","10287","10368","10203","10246","10392","9844","9645","9785","9218","8490","8167","7870","8144","7758","7993","8283","8974","9344","9430","9995","10105","10228","9692","8539","9321","9401","9565","8992","8752","9299","8491","7864","8188","7287","7470","7233","7293","7144","6658","7395","8219","8805","9385","9735","429068","2025/01/08 15:30:02"
